Unnamed: 0,y,x,heading,distance,carvature,speedMode,steer,velocity,status,type
1252,38.32114748,-246.0211052,191.488,0.190845793,0.0078649,0,0,0,good,GPS
1253,38.2828481,-246.199006,191.566,0.181976764,0.007480938,0,0,0,good,GPS
1254,38.24565162,-246.4433674,191.658,0.247176109,0.00649619,0,0,0,good,GPS
1255,38.20735224,-246.6212682,191.729,0.181976764,0.006809571,0,0,0,good,GPS
1256,38.15984564,-246.8657977,191.855,0.249101509,0.008828188,0,0,0,good,GPS
1257,38.12246534,-247.0990822,191.996,0.236260392,0.01041611,0,0,0,good,GPS
1258,38.08434977,-247.2880598,192.102,0.192783081,0.009596532,0,0,0,good,GPS
1259,38.04696946,-247.5213444,192.23,0.236260394,0.009455759,0,0,0,good,GPS
1260,38.00977297,-247.7657057,192.344,0.247176109,0.008049626,0,0,0,good,GPS
1261,37.97147358,-247.9436065,192.428,0.181976764,0.008056394,0,0,0,good,GPS
1262,37.93409328,-248.176891,192.553,0.236260393,0.00923414,0,0,0,good,GPS
1263,37.89671296,-248.4101756,192.678,0.236260394,0.00923414,0,0,0,good,GPS
1264,37.85841357,-248.5880764,192.776,0.181976764,0.009399127,0,0,0,good,GPS
1265,37.82103325,-248.821361,192.901,0.236260393,0.00923414,0,0,0,good,GPS
1266,37.78273386,-248.9992618,192.985,0.181976764,0.008056394,0,0,0,good,GPS
1267,37.74443446,-249.1771626,193.06,0.181976765,0.007193209,0,0,0,good,GPS
1268,37.70613505,-249.3550634,193.131,0.181976765,0.006809571,0,0,0,good,GPS
1269,37.66783566,-249.5329642,193.187,0.181976764,0.00537093,0,0,0,good,GPS
1270,37.62953625,-249.710865,193.255,0.181976765,0.006521843,0,0,0,good,GPS
1271,37.58184581,-249.9443178,193.343,0.23827415,0.006445893,0,0,0,good,GPS
1272,37.53415537,-250.1777706,193.427,0.23827415,0.006152898,0,0,0,good,GPS
1273,37.48646493,-250.4112233,193.514,0.238274149,0.006372645,0,0,0,good,GPS
1274,37.42846437,-250.6448443,193.577,0.240713151,0.004567916,0,0,0,good,GPS
1275,37.38077392,-250.8782971,193.638,0.238274151,0.004468176,0,0,0,good,GPS
1276,37.33308347,-251.1117498,193.694,0.23827415,0.004101932,0,0,0,normal,GPS
1277,37.28520921,-251.3341258,193.773,0.227470956,0.006061478,0,0,0,normal,GPS
1278,37.24690979,-251.5120266,193.836,0.181976763,0.006042296,0,0,0,normal,GPS
1279,37.1887254,-251.7345708,193.919,0.230024675,0.006297686,0,0,0,normal,GPS
1280,37.15042598,-251.9124717,193.975,0.181976765,0.00537093,0,0,0,normal,GPS
1281,37.10255171,-252.1348477,194.022,0.227470957,0.003606196,0,0,0,normal,GPS
1282,37.06425229,-252.3127485,194.045,0.181976764,0.002205917,0,0,0,good,GPS
1283,37.0060679,-252.5352927,194.064,0.230024675,0.001441639,0,0,0,good,GPS
1284,36.95819362,-252.7576687,194.093,0.227470956,0.002225099,0,0,0,good,GPS
1285,36.90000922,-252.9802129,194.135,0.230024675,0.003186781,0,0,0,good,GPS
1286,36.85213493,-253.2025889,194.168,0.227470956,0.00253201,0,0,0,good,GPS
1287,36.80426065,-253.4249649,194.191,0.227470957,0.001764734,0,0,0,good,GPS
1288,36.75657018,-253.6584177,194.195,0.23827415,0.000292995,0,0,0,good,GPS
1289,36.69838577,-253.8809619,194.208,0.230024676,0.000986385,0,0,0,good,GPS
1290,36.65032767,-254.0922612,194.209,0.216695541,8.05E-05,0,0,0,good,GPS
1291,36.60245337,-254.3146372,194.23,0.227470956,0.001611279,0,0,0,good,GPS
1292,36.55439526,-254.5259364,194.243,0.216695541,0.001047058,0,0,0,good,GPS
1293,36.49621085,-254.7484806,194.265,0.230024676,0.001669266,0,0,0,good,GPS
1294,36.44815274,-254.9597799,194.284,0.216695542,0.001530316,0,0,0,good,GPS
1295,36.40009462,-255.1710791,194.288,0.216695542,0.000322172,0,0,0,good,GPS
1296,36.35203651,-255.3823784,194.284,0.216695542,-0.000322172,0,0,0,good,GPS
1297,36.29366827,-255.5938459,194.301,0.219374878,0.001352507,0,0,0,good,GPS
1298,36.24561015,-255.8051451,194.317,0.216695543,0.001288687,0,0,0,good,GPS
1299,36.19755203,-256.0164444,194.344,0.216695542,0.002174659,0,0,0,good,GPS
1300,36.14931009,-256.2166669,194.365,0.205952266,0.001779632,0,0,0,good,GPS
1301,36.10125196,-256.4279661,194.381,0.216695543,0.001288687,0,0,0,good,GPS
1302,36.05301002,-256.6281886,194.386,0.205952267,0.000423722,0,0,0,good,GPS
1303,35.99464177,-256.8396561,194.382,0.219374879,-0.000318237,0,0,0,good,GPS
1304,35.94639983,-257.0398786,194.382,0.205952267,0,0,0,0,good,GPS
1305,35.8983417,-257.2511778,194.391,0.216695542,0.000724886,0,0,0,good,GPS
1306,35.85009975,-257.4514003,194.413,0.205952268,0.001864376,0,0,0,good,GPS
